OBJECTID,Projects,Ward,Units,Year Built,Address,City,State,Zipcode,Management Company,Property Manager Contact,Sponsored By,Sponsory Contact,Bondholder,Loan Status (Bonds Redeemed / Active / Recently Converted),Risk Share / Non Risk Share,Renovation / New Construction Year,Building Type,Construction Type,Occupancy Type,Subsidized Programs,Loan Closing Date,Original Loan Balance,Maturity Date,Compliance Period End Date,Asset Manager,MAR_LATITUDE,MAR_LONGITUDE,MARID,GlobalID,EditDate,x,y
98,Maycroft,Ward 1,64,1923,"1474 Columbia Road, NW",Washington,DC,20009,Jubilee,"Dorothy Larimer, dlarimer@jubileehousing.org","Jubilee Housing, Inc.",,JUBILEE HOUSING INC,Active,Non Risk Share,2019,Garden 4 Floors,Acquisition / Rehab,"Residential, Homeless 100 @ 60% AMI or less",LRSP,4/5/2019 12:00:00 AM,3312149,7/1/2034,4/1/2034 12:00:00 AM,Clarence,38.92684653,-77.03518853,234344,e80172df-69d4-4075-987a-8d9eef4bc59f,10/13/2022 8:33:29 PM,396948.95851485,139885.211776322
99,Mayfair Mansions ,Ward 7,410,1945,"3744 Hayes St, NE",Washington,DC,20019,"Enterprise Residential, LLC",Henry Johnson,"Enterprise Community Development, Inc. - FKA - Community Preservation and Development Corporation ",,,Redeemed,Non Risk Share,2007,Garden 3 Floor,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,10/1/2007 12:00:00 AM,42000000,,9/27/2022 12:00:00 AM,,38.90348479,-76.94919542,295317,c821432d-057d-40e6-a906-914c282ddce9,10/13/2022 8:33:29 PM,404406.967300351,137292.50274559
100,Mayfair Mansions III,Ward 7,160,1946,"3744 Hayes Street, NE",Washington,DC,20019,TM Associates,"Binh Ly, bly@winnco.com","WinnCompanies, LLC","Binh Ly, bly@winnco.com",CEDE & CO,Active,Non Risk Share,2012,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,10/1/2011 12:00:00 AM,11000000,1/1/2044 / 7/1/2029,9/27/2026 12:00:00 AM,Sidney,38.90348479,-76.94919542,295317,b78f0fbd-c248-47bd-b208-09b5d3af3aa3,10/13/2022 8:33:29 PM,404406.967300351,137292.50274559
101,Meadowbrook Run (Trenton Park),Ward 8,259,1949,"3647 6th Street, SE",Washington,DC,20032,"Enterprise Residential, LLC",Wanda M. Langley-Hardy - wlhardy@enterprisecommunity.org,"Trenton Park, LLC",,,Redeemed,Non Risk Share,2002,Garden,New Construction,Residential Families 100 @ 60% AMI or less,,1/1/2002 12:00:00 AM,6335000,,12/28/2016 12:00:00 AM,Clarence,38.83788023,-76.99868059,295898,b6df0df8-d662-48f5-ab9b-2f10ace2074e,10/13/2022 8:33:29 PM,400114.748291731,130008.683750506
102,Meridian Manor,Ward 1,34,1940,"1424 Chapin Street, NW",Washington,DC,20009,Edgewood,"Mercedes Coreas, SHCM","Meridian Manor- Chapin Street, LP ",,,Active,Risk Share ,,High Rise,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,7/1/2001 12:00:00 AM,2400000,,6/27/2016 12:00:00 AM,Clarence,38.92131413,-77.03325194,234161,c9edbe34-dad6-45e7-8253-ec2786a4271e,10/13/2022 8:33:29 PM,397116.658832226,139271.005539608
103,Metro Village ,Ward 4,150,2015,"7053 Spring Pl, NW",Washington,DC,20012,Residential One,Vickie Janes  VJANES@RES1.NET,"Takoma Spring Place Limited Partnership / AHD, Inc.",,,Redeemed,Non Risk Share,2014,Mid Rise 5 Floors ,Acquisition / New Construction,Residential Families 80% @ 60% AMI and 20% Market Rate ,,7/28/2014 12:00:00 AM,17800000,,7/24/2029 12:00:00 AM,Sidney,38.97628082,-77.01909324,285375,25c1c597-4627-443d-a8e5-eae01cb718bc,10/13/2022 8:33:29 PM,398345.748266358,145372.451100282
104,Milestone Senior Housing,Ward 7,60,,"3605 Minnesota Ave SE, ",Washington,DC,20019,E & G,"Carlos Rios 571-488-6683, crios@eandggroup.com","E&G GROUP LLC, EQUITY PLUS MANAGER LLC, and TURNAROUND INC.",,JPMORGAN CHASE BANK NA,Under Construction,Non Risk Share,,Mid Rise 4 Floors,New Construction,Seniors 55+ 100 @ 50% AMI or less,LRSP,11/30/2018 12:00:00 AM,5500000,5/9/2038,11/26/2033 12:00:00 AM,Clarence,38.88783246,-76.95407997,32977,142dd926-2ea9-4142-a208-f673c25ec9eb,10/13/2022 8:33:29 PM,403984.157375341,135554.746113439
105,N Street Village,Ward 2,95,2016,"1333 N St NW, ",Washington,DC,20005,WC Smith,Cynthia Bertolotti 202-408-3217 cynthiab@wcsmith.com,"Lincoln Westmoreland Housing, Inc. ","CT Associates, ",BANC OF AMERICA PUBLIC CAPITAL,Active,Non Risk Share,,Mid Rise 8 Floors,Acquisition / Rehab / New Construction,Homeless Women 100 @ 60% AMI or less,LRSP,3/24/2016 12:00:00 AM,8500000,3/1/2048,3/21/2031 12:00:00 AM,Clarence,38.90756608,-77.03142561,298405,e6519509-8506-43b8-9ad4-8b963d1f97f0,10/13/2022 8:33:29 PM,397274.508974176,137744.80207924
106,New Lincoln Westmoreland,Ward 2,110,1971,"1710 7th Street, NW",Washington,DC,20001,"Charles Tini & Associates, LLC",Tasha Etienne   tetienne@thectgroupllc.com,"Lincoln Westmoreland Housing, Inc. ","CT Associates, ",,Redeemed,Non Risk Share,2016,High Rise 10 Floors,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,11/19/2014 12:00:00 AM,15000000,,11/15/2029 12:00:00 AM,,38.9130217,-77.02219778,311198,aad27afe-8a3d-4f5e-8bde-67822a95a8ba,10/13/2022 8:33:29 PM,398075.028790767,138350.185527072
107,North Capital Commons,Ward 6,124,2015,"1005 North Capitol St NE, ",Washington,DC,20002,"McCormack Baron Salazar, Inc","Brodie, Claudia <Claudia.Brodie@McCormackBaron.com>","North Capitol Commons, LP / McCormack Baron Salazar",,,Redeemed,Non Risk Share,2014,High Rise 14 Floors,Acquisition / New Construction,Formerly Homeless Veterans,LRSP,8/29/2014 12:00:00 AM,16750000,,8/25/2029 12:00:00 AM,Sidney,38.90299395,-77.00864201,310452,f3891e1c-2918-4d32-850c-4e21bf220115,10/13/2022 8:33:29 PM,399250.588359422,137236.824904571
108,NorthWest PhaseOne,Ward 6,220,2020,"2 L Street NW, ",Washington,DC,20001,Kettler,,,,,Under Construction,Non Risk Share ,2020,Mid Rise 7 Floors,Acquisition / Rehab,,,10/16/2020 12:00:00 AM,29900000,,10/13/2035 12:00:00 AM,Sidney,38.90353787,-77.00990033,300442,ce38a9d5-f441-4857-8816-4ca2caf5579f,10/13/2022 8:33:29 PM,399141.447972936,137297.215494732
109,Ontario Courts,Ward 1,27,1922,"2525 Ontario Road, NW",Washington,DC,20009,Jubilee,"Dorothy Larimer, dlarimer@jubileehousing.org",Jubilee Ontario Apartments LP,"Dorothy Larimer, dlarimer@jubileehousing.org",UNITED BANK,Redeemed,Non Risk Share,2014,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,LRSP,3/27/2015 12:00:00 AM,4810000,10/1/2031,3/23/2030 12:00:00 AM,Clarence,38.92381287,-77.04002737,235734,3d4b566c-f45a-4bd6-b3c3-78f9ca8c13df,10/13/2022 8:33:29 PM,396529.229252768,139548.622602415
110,Park 7 at Minnesota Benning ,Ward 7,376,2014,"4020 Minnesota Avenue, NE",Washington,DC,20019,Whitney Management Corp,Steve@dkdevelopment.com / Ryan@dkdevelopment.com 301-654-0700 ,"Donatelli Development and Blue Sky Construction, ",Steve@dkdevelopment.com 301-654-0700 ,BANC OF AMERICA PUBLIC CAPITAL,Active,Non Risk Share,2012,Mid Rise 5 Floors ,New Construction,Residential Families 70 @ 60% AMI and 30% Market Rate,,8/9/2012 12:00:00 AM,45250000,2/1/2046,8/6/2027 12:00:00 AM,Clarence,38.89592416,-76.94893498,310430,dae6311e-3332-446a-91d3-94e09f179d6e,10/13/2022 8:33:29 PM,404430.027224393,136453.225159481
111,Park Southern Apts ,Ward 8,358,1965,"800 Southern Ave SE,",Washington,DC,20032,Vesta,,Vesta Corporation,,,Under Construction,Non Risk Share ,2020,High Rise 12 Floors,Acquisition / Rehab,"Residential Families 48% @ 60%, 37% @ 50%, 6% @ 80%, 3% @ 30%, % 6% Market",The Department of Behavioral Health/ ,6/18/2020 12:00:00 AM,41690000,,6/15/2035 12:00:00 AM,Sidney,38.82735337,-76.99461836,79579,163d6408-56f2-4b0e-bb73-27288b356c00,10/13/2022 8:33:29 PM,400467.497464716,128840.14437616
112,Parkchester Apartments ,Ward 8,93,1952,"2704 Wade Road, SE",Washington,DC,20020,Edgewood,"Stacie Ringgold 301-562-1657 or 443-539-6123, sringgold@emcmgmt.com","Wade Road Investor LLC , NHP Foundation","Carlos Gonzales, cgonzales@nhpfoundation.org","CITIBANK, N.A.",Active,Non Risk Share,2018,Low Rise 3 Floors ,Acquisition / Rehab,Residential Families 100 @ 50% AMI ,HAP Contract,9/15/2016 12:00:00 AM,11200000,9/1/2048,9/12/2031 12:00:00 AM,Clarence,38.85854529,-76.99712642,278231,496eb8bd-60d2-4a70-8bd6-3ce673d44574,10/13/2022 8:33:29 PM,400249.608217929,132302.653361968
113,Parkside Senior (Victory Square Project ),Ward 7,98,2012,"600 Barnes Street, NE",Washington,DC,20019,Habitat  America,"Michelle Farrell, mfarrell@habitatamerica.com","Parkside Senior Housing, LLC","Jenn O'dell, jodell@habitatamerica.com",,Active,Non Risk Share,2012,Mid Rise 4 Floors  ,New Construction,Seniors 55+ 100 @ 60% AMI or less,,2/15/2011 12:00:00 AM,7132000,2/1/2043,2/11/2026 12:00:00 AM,Sidney,38.90008239,-76.95234136,307298,d99bee39-da55-42ca-abd9-848dc4f0ccb5,10/13/2022 8:33:29 PM,404134.286905065,136914.661923581
114,Parkside Terrace (The Overlook at Oxon Run),Ward 8,316,1960,"3700 9th Street, SE",Washington,DC,20032,"Enterprise Residential, LLC","Baker, Kristie <kbaker@enterpriseresidential.org>","Parkside Terrace Development, LLC / Community Preservation and Development Corporation ",,UNION BANK OF CALIFORNIA NA,Active,Non Risk Share,2008,High Rise 12 Floors,Acquisition / Rehab,"Seniors, Residential Families 100 @ 60% or less", Section 8 HAP Contract,12/28/2007 12:00:00 AM,36800000,1/1/2045,12/24/2022 12:00:00 AM,Clarence,38.83595933,-76.99406416,278421,6f150cc0-364f-40ec-8543-fbbf5f81adc0,10/13/2022 8:33:29 PM,400515.55776599,129795.466694002
115,Parkway Overlook,Ward 8,220,2020,"2841 Robinson Place, SE",Washington,DC,20020,DCHA,,DCHA,,CEDE & CO,Under Construction,Non Risk Share,2020,Garden ,Acquisition / Rehab,Residential Families 100 @ 50% AMI or less,,2/7/2018 12:00:00 AM,38041000,9//2021 - 3/1/2036,2/3/2033 12:00:00 AM,Sidney,38.85068067,-76.98680911,45641,b1ea205b-1e6a-4c6e-ae6d-47df0eb4d1b3,10/13/2022 8:33:29 PM,401145.217594028,131429.703279062
116,Paul Laurence Dunbar Apartments (Campbell Heights),Ward 1,171,1978,"2001 15th Street, NW",Washington,DC,20009,Winn Residential,Stacie Ringold sringold@winnco.com  (Regional Manager)   Kareem Slater kslater@winnco.com  (Senior Vice President),Paul Lawrence Dunbar Apts. Limited Partnership ,,,Active,Non Risk Share,2011,High Rise 10 Floors,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,HAP Contract,6/15/2011 12:00:00 AM,18700000,,6/11/2026 12:00:00 AM,Sidney,38.9174725,-77.03417182,239975,bc0682b9-e54e-4dae-9d68-c93c96d3793d,10/13/2022 8:33:29 PM,397036.729106351,138844.581886056
117,Pentacle Apartments,Ward 7,182,2010,"1501 Benning Road, NE",Washington,DC,20002,Horning Brothers,"Jay Berkowitz 202-659-0700 x 202,  jberkowitz@horningbrothers.com","Pentacle Limited Partnership, ","Jay Berkowitz 202-659-0700 x 202, jberkowitz@horningbrothers.com",CEDE & CO,Active,Non Risk Share,2010,Garden / Townhouse,Acquisition / Rehab / New Construction,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,11/1/2008 12:00:00 AM,11560000,11/1/2039,10/29/2023 12:00:00 AM,Sidney,38.89935524,-76.98335655,295932,c7d5275d-d90d-490d-9818-9ff378cd04ce,10/13/2022 8:33:29 PM,401443.928005439,136832.995000646
118,Petworth Station (Petworth Place),Ward 4,88,1936,"930 Randolph Street, NW",Washington,DC,20011,WC Smith,"Rochelle Williams, rochellewilliams@wcsmith.com",William C. Smith & Co./Petworth Station LP,"Rochelle Williams , rochellewilliams@wcsmith.com",CEDE & CO,Under Construction,Risk Share ,2018,Mid Rise ,Acquisition / Rehab / New Construction,Residential Families 100 @ 60% AMI or less,,4/4/2019 12:00:00 AM,12525000,3/1/2040,3/31/2034 12:00:00 AM,Sidney,38.93842345,-77.025935,225073,3d6cbbae-2de5-4081-a157-7ba9e6e7f4c3,10/13/2022 8:33:29 PM,397751.708308892,141170.081463685
119,Plaza West,Ward 6,223,,"307 K St NW, ",Washington,DC,20001,Columbus Property Management,,"Plaza West, LLC",,,Redeemed,Non Risk Share ,,High Rise 12 Floors,Acquisition / New Construction,"Grand-Families, Residential Families 100 @ 60% AMI or Less",LRSP,,,,12/27/1914 12:00:00 AM,Clarence ,38.9027603,-77.0154418,312744,c893cae2-5ac5-470f-ac1a-8075b220e150,10/13/2022 8:33:29 PM,398660.768788023,137210.965690017
120,Pomeroy Gardens ,Ward 8,60,1964,"2408 Pomeroy Road, SE",Washington,DC,20020,Residential One,"Louis Sigalas 301-939-4488, lsigalas@res1.net",NPCDC ,"Brian Moore 757-508-6885, bmoore@npcdc.org",,Active,Non Risk Share,2016,Garden,Acquisition / Rehab / New Construction,Residential Families 100 @ 60% AMI or less,,,,,12/27/1914 12:00:00 AM,Sidney,38.85502541,-76.9871279,287027,b0aef176-b197-4b32-9562-f15d24e489db,10/13/2022 8:33:29 PM,401117.477409395,131911.996284797
121,Portner Flats,Ward 1,96,2018,"1400 V Street, NW",Washington,DC,20009,"Habitat America, LLC",Jennifer O'Dell  jodell@habitatamerica.com,"Someset Development, The Johnathan Roae Comp. ",,,Redeemed,,2016,High Rise 8 Floors,Acquisition / New Construction,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,7/1/2016 12:00:00 AM,27000000,,6/28/2031 12:00:00 AM,Sidney,38.91788495,-77.0333758,298461,dc79a6c9-487a-4d4f-b420-0a285f170cab,10/13/2022 8:33:29 PM,397105.778766507,138890.341735505
122,Providence Place Apartments ,Ward 7,93,2019,"601 50th St NE, ",Washington,DC,20019,Atlantic Pacific Management,"Israel Perez 941-421-7382, iperez@apcommunities.com","Atlantic Pacific Communities, LLC
Urban Matters Development Partners
Progressive National Baptist Convention Community Development Corporation","Israel Perez, iperez@apcommunities.com",CEDE & CO,Under Construction,Non Risk Share,2019,Low Rise 4 Floors,New Construction,Residential Families 100 @ 60% AMI or less,LRSP,8/22/2019 12:00:00 AM,19700000,3/1/2023 - 9/1/2037,8/18/2034 12:00:00 AM,Clarence,38.89663922,-76.92908719,289784,08efb1a2-3cc7-41f0-ac2e-6031e879a3b7,10/13/2022 8:33:29 PM,406151.737211844,136533.752717604
123,R Street,Ward 2,130,1912,"1400 R Street, NW",Washington,DC,20009,Edgewood,"Stacie Ringgold 301-562-1657 or 443-539-6123, sringgold@emcmgmt.com","National Housing Trust, ","Edward Pauls, epauls@nhtinc.org",EMBASSY & CO,Active,Non Risk Share,2008,Garden,Acquisition / Rehab / New Construction,Residential Families 95% @ 60% AMI or less and Market,Section 8 HAP Contract,9/28/2007 12:00:00 AM,12300000,9/1/2051,9/24/2022 12:00:00 AM,Sidney,38.91235807,-77.03401487,240207,8f928915-c182-4c0a-b41b-fd24671303ca,10/13/2022 8:33:29 PM,397050.128658401,138276.832694015
124,Randle Hill Apartments ,Ward 8,195,2018,"3300 6th St SE, ",Washington,DC,20032,Edgewood,"Stacie Ringgold 301-562-1657 or 443-539-6123, sringgold@emcmgmt.com",Randle Hill LLC,,CEDE & CO,Under Construction,Risk Share ,2020,Mid Rise ,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,9/27/2019 12:00:00 AM,25420000,9/1/2039,9/23/2034 12:00:00 AM,Sidney,38.83983824,-76.99816257,297993,fc5c64e2-045f-4baf-99c7-6a6708c7dcf6,10/13/2022 8:33:29 PM,400159.718099737,130226.037031914
125,Residence at Georgia Ave,Ward 4,72,2009,"4100 Georgia Avenue, NW",Washington,DC,20011,Residential One,"Louis Sigalas 301-939-4488, lsigalas@res1.net",4100 Georgia Avenue Limited Partnership ,,,Active,Non Risk Share,2008,Mid Rise 6 Floors,Acquisition / New Construction,Residnetial Families 100 @ 60% AMI or less,Section 8 HAP Contract,8/1/2007 12:00:00 AM,13000000,2/1/2051,7/28/2022 12:00:00 AM,Sidney,38.94101511,-77.02577445,300492,41398613-c8a2-45a2-9f3d-9ff0e9ee87d7,10/13/2022 8:33:29 PM,397765.708766621,141457.77460173
126,Residences at Kenilworth Park ,Ward 7,157,2021,"4501 Quarles Street, NE, Washington, DC 20019",Washington,DC,20019,HallBridge Partners,,The Residences at Kenilworth Park,,,Under Construction,Non Risk Share,2020,Mid Rise,New Construction,,,8/28/2020 12:00:00 AM,58000000,,8/25/2035 12:00:00 AM,Clarence,38.91171418,-76.93664621,156067,d156b843-1d09-4d9d-a7d3-108dfd7a1f86,10/13/2022 8:33:29 PM,405494.846699016,138206.712429417
127,Ritch Homes,Ward 2,46,1912,"1420 R Street NW, ",Washington,DC,20009,The Franklin Johnston Group,,,,,Under Construction,Non Risk Share ,2021,Low Rise 4 Floors,Acquisition / Rehab,,,12/28/2020 12:00:00 AM,17750000,,12/25/2035 12:00:00 AM,,38.91235692,-77.03299387,240186,2d14c58f-2396-467c-889d-4fabb0ae6c49,10/13/2022 8:33:29 PM,397138.678731097,138276.6725332
128,Royal Courts (Bowling Green),Ward 8,126,2003,"3719 4th St SE, Washington",Washington,DC,20032,Residential One,Tiffany Thorn - tthorn@res1.net,Bowling Green Apartments Limited Partnership,,,Active,Non Risk Share,2004,Garden,New Construction,Residential Families 100 @ 60% AMI ,,6/1/2003 12:00:00 AM,10740000,,5/28/2018 12:00:00 AM,Sidney,38.83677795,-77.00178771,147492,5792f651-c304-429d-beed-a82114ae3da1,10/13/2022 8:33:29 PM,399844.987644641,129886.323857789
129,Samuel J. Simmons NCBA Estates,Ward 1,174,1981,"2801 14th Street, NW",Washington,DC,20009,NCBA Housing Management,Neeve Wallace nwallace@nbcahmc.com,Samuel J. Simmons NCBA Estates No.1 LP,"Miamah Pinkard 202-595-9188, mpinkard@ncbahmc.com",,Active,Non Risk Share,2011,High Rise 10 Floors,Acquisition / Rehab,Seniors 100 @ 60% AMI or less ,HAP Contract,12/16/2010 12:00:00 AM,26000000,7/1/2033 - 1/1/2044,12/12/2025 12:00:00 AM,Sidney,38.92621339,-77.03196628,231582,ca0756ea-7786-4536-97c3-e8299df7d886,10/13/2022 8:33:29 PM,397228.339051827,139814.825062065
130,Samuel Kelsey Apartments*,Ward 1,150,1923,"3322 14th Street, NW",Washington,DC,20010,Winn Residential,Risha Williams rkwilliams@winnco.com (Divisional Vice President),"WinnCompanies, LLC","Pearse O'Baoill, pobaoill@winnco.com",CEDE & CO,Active,Non Risk Share,1985,Mid Rise,Acquisition / Rehab,Residential Families 40 @ 60% AMI,Section 8/ HAP,12/21/2011 12:00:00 AM,24400000,12/1/2041 - 6/1/2041,12/17/2026 12:00:00 AM,Sidney,38.93089038,-77.03297246,284634,0c7ac372-e1ba-4e2d-9aeb-75b4d444e694,10/13/2022 8:33:29 PM,397141.278742428,140334.042057091
131,Savannah Apartments,Ward 8,65,1947,"1301 Savannah Street, SE",Washington,DC,20032,Quantum Property Management Corporation,,NHT Communities,,Freddie Mac via Prudential,Under Construction,Non Risk Share,2020,Garden Style 14 Buildings,Acquisition / Rehab,"Residential Families 78% @ 50% 11% @ 60%, & 11% @ 30% AMI",,10/9/2020 12:00:00 AM,11500000,,10/6/2035 12:00:00 AM,Sidney,38.84310607,-76.98815455,155736,9ed4d628-0368-4380-982c-ad54bf44a43e,10/13/2022 8:33:29 PM,401028.537349953,130588.853762631
132,Savannah Heights,Ward 8,100,2004,"251 Savannah Street, SE",Washington,DC,20032,Residential One,Vickie Janes  VJANES@RES1.NET,The National Housing Trust – Enterprise Preservation Corporation (NHT-Enterprise),,,Redeemed,Non Risk Share,2004,Garden / Townhouse,Acquisition / New Construction,Residential Families 100 @ 60% AMI or less,,9/1/2004 12:00:00 AM,7895000,,8/29/2019 12:00:00 AM,,38.84164396,-77.00126557,302726,f3bcd19f-4c5d-4a15-9eb4-0328a160dabd,10/13/2022 8:33:29 PM,399890.327718944,130426.48352786
133,Senior Residences at Southern Ave ,Ward 8,152,,306 Southern Ave SE,Washington,DC,20032,DP management and Priority Life Care ,Corey Powell ,"Dantes Partners,",Stephen@dantespartners.com,,Under Construction,Non Risk Share,2019,Mid Rise 5 Floors ,New Construction,Seniors 60+ 100 @ 60% or less,,6/13/2019 12:00:00 AM,50000000,6/1/2039,6/9/2034 12:00:00 AM,Sidney,38.82201723,-77.00095925,277854,8dde4ccf-890d-45ce-8246-b99f8b676a53,10/13/2022 8:33:29 PM,399916.897888386,128247.784336339
134,Severna II,Ward 6,133,2012,"43 K Street NW, Washington DC",Washington,DC,20001,Columbus Property Management,Erica Marshall - emarshall@columbuspm.org/ Mary Jo Salazar - msalazar@missionfirsthousing.org/  Jessica Moore <jmoore@missionfirsthousing.org>,"Mission First Housing Development Corporation, ","Sarah Constant 202-374-8761 , sconstant@missionfirsthdc.org",BANC OF AMERICA PUBLIC CAPITAL,Active,Non Risk Share,2012,High Rise 9 Floors,New Construction,Residential Families 75% @ 60% AMI or less and 25% Market Rate ,,12/21/2012 12:00:00 AM,17600000,12/1/2049,12/18/2027 12:00:00 AM,Clarence,38.90278101,-77.01162479,310112,d5648f77-977e-4351-a222-dd4c7cd1671b,10/13/2022 8:33:29 PM,398991.858397259,137213.215576011
135,Sheridan Station I (The Lofts at Sheridan Station),Ward 8,114,2011/2012,"2516 Sheridan Road, SE",Washington,DC,20020,WC Smith,Simone Ried (sreid@wcsmith.com),"Sheridan, LP",,BANC OF AMERICA PUBLIC CAPITAL,Active,Non Risk Share,2012,Mid Rise 5 Floors ,Acquisition / New Construction,"Seniors, Residential Families 100 @ 60% or less",ACC,4/13/2010 12:00:00 AM,14000000,10/1/2040,4/9/2025 12:00:00 AM,Clarence,38.86013163,-76.9933016,308345,e7973732-52fa-4427-b0ef-bbd6f29cc9cb,10/13/2022 8:33:29 PM,400581.567708188,132478.765940528
136,Sheridan Station III,Ward 8,133,2014,"2516 Sheridan Road, SE",Washington,DC,20020,WC Smith,Simone Ried (sreid@wcsmith.com),"Sheridan Station South, LP",,SUNTRUST BANK,Active,Non Risk Share,2012,Townhomes / Flats / Cottages,Acquisition / New Construction,Residential Families 100 @ 60% AMI or less,,8/5/2013 12:00:00 AM,22945000,,8/1/2028 12:00:00 AM,Clarence,38.86013163,-76.9933016,308345,83a1a517-a589-4363-9842-032361041b95,10/13/2022 8:33:29 PM,400581.567708188,132478.765940528
137,Shipley Park,Ward 8,250,1950,"2532 Southern Avenue, SE, Ste. A",Washington,DC,20020,WC Smith,Deonca Tyree - dtyree@wcsmith.com,Dawnn Leary /  WC Smith,,CEDE & CO,Active,Non Risk Share,2007,Garden,Acquisition / Rehab,Residential Families 95% @ 60% AMI + 5% @ Market Rate ,,7/1/2005 12:00:00 AM,11920000,6/1/2038,6/27/2020 12:00:00 AM,Clarence,38.84752051,-76.96804096,278176,261a1ea4-7c2f-400c-afd8-47dd569674a3,10/13/2022 8:33:29 PM,402774.487455861,131079.306178634
138,Skyline Apartments ,Ward 8,398,,"2549 & 2400 Elvans Rd, Washington, D.C., 20020",washington,DC,20020,Arco Management,,"Redwood Housing Capital, LLC/ Skyline, LP","Felipe Serpa, felipe@redwoodhousing.com",,Under Construction,Non Risk Share,2020,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,Section 8/ HAP,3/31/2020 12:00:00 AM,72400000,,3/28/2035 12:00:00 AM,Clarence,38.85494866,-76.99128143,296117,a9c0faa3-4811-4aff-8cfe-1b5495922466,10/13/2022 8:33:29 PM,400756.957899582,131903.433862172
139,SOME Benning RD (Conway Center),Ward 7,182,,"120 45th Street, NE",Washington,DC,20019,SOME,"Suzanne Bond , sbond@some.org",SOME,"Suzanne Bond, sbond@some.org",,Active,Non Risk Share,2016,Mid Rise 7 Floors,Acquisition / Rehab / New Construction,Homeless 100 @ 60% AMI or less,"LRSP, Section 8/ HAP",10/1/2015 12:00:00 AM,8300000,2/1/2058,9/27/2030 12:00:00 AM,Sidney,38.89142016,-76.93796318,312914,f0f710bc-88ca-4bc2-ada4-25a5e7d4c394,10/13/2022 8:33:29 PM,405382.157321852,135953.835424592
140,SOME I - Scattered Site I (Chesapeake Street),Ward 8,245,1936,"736 Chesapeake St SE,",Washington,DC,,SOME,"DeChanta Jackson - djackson@some.org
Main: 202-797-8806 
Direct: 202-753-8597
","Supportive Housing Opportunities, LLC",,CEDE & CO,Active,Non Risk Share,2013,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,LRSP,8/9/2010 12:00:00 AM,18300000,,8/5/2025 12:00:00 AM,Sidney,38.82944679,-76.99540871,155869,5fe15471-924c-469c-81c2-418a7ff2836c,10/13/2022 8:33:29 PM,400398.857964416,129072.524183776
141,SOME I - Scattered Site I (Good Hope Road),Ward 8,245,1936,"1667 Good Hope Rd SE,",Washington,DC,,SOME,"DeChanta Jackson - djackson@some.org
Main: 202-797-8806 
Direct: 202-753-8597
","Supportive Housing Opportunities, LLC",,CEDE & CO,Active,Non Risk Share,2013,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,LRSP,8/9/2010 12:00:00 AM,18300000,,8/5/2025 12:00:00 AM,Sidney,38.86553582,-76.97978528,58175,89f62841-bb70-4628-b40b-1d3a807d0594,10/13/2022 8:33:29 PM,401754.547737834,133078.843245301
142,SOME I - Scattered Site I (Texas Ave),Ward 7,245,1936,"2872 Texas Ave SE,",Washington,DC,,SOME,"DeChanta Jackson - djackson@some.org
Main: 202-797-8806 
Direct: 202-753-8597
","Supportive Housing Opportunities, LLC",,CEDE & CO,Active,Non Risk Share,2013,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,LRSP,8/9/2010 12:00:00 AM,18300000,,8/5/2025 12:00:00 AM,Sidney,38.86785168,-76.967035,148093,57ded036-4d29-4e6a-ad57-3f7a020e950c,10/13/2022 8:33:29 PM,402860.997551211,133336.242990813
143,SOME I - Scattered Site I (50th Street,Ward 7,245,1936,"350 50th St SE,",Washington,DC,,SOME,"DeChanta Jackson - djackson@some.org
Main: 202-797-8806 
Direct: 202-753-8597
","Supportive Housing Opportunities, LLC",,CEDE & CO,Active,Non Risk Share,2013,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,LRSP,8/9/2010 12:00:00 AM,18300000,,8/5/2025 12:00:00 AM,Sidney,38.88426404,-76.93067424,34089,c1f93556-ac2b-4c03-8550-db364f47ff7f,10/13/2022 8:33:29 PM,406015.107151024,135159.905796897
144,SOME I - Scattered Site I (South Capitol),Ward 8,245,1936,3828 South Capitol St SE,Washington,DC,,SOME,"DeChanta Jackson - djackson@some.org
Main: 202-797-8806 
Direct: 202-753-8597
","Supportive Housing Opportunities, LLC",,CEDE & CO,Active,Non Risk Share,2013,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,LRSP,8/9/2010 12:00:00 AM,18300000,,8/5/2025 12:00:00 AM,Sidney,38.83447415,-77.00777105,150769,79f151e6-f91d-4505-a8f9-0ade82d9650d,10/13/2022 8:33:29 PM,399325.48794956,129630.613639397
